,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
35,,@Shivansh-f4j,"2023-07-19 13:36:42",4,no,no,"Fee's structure of Residential complex, please inform.",UCPS0unbckLxDHQXC-VumXtA,UgwzJ7njhJbuH3XzoCx4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwzJ7njhJbuH3XzoCx4AaABAg
36,,@Shubhamkr_26,"2023-07-23 17:42:53",3,no,no,"Class 6,7,8,9 ka fee kitna h sir",UC7M7wwVy4YCjC6KQA0a23Cg,UgyI-IEywx9dtJKZ2814AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyI-IEywx9dtJKZ2814AaABAg
37,,@akashgope7716,"2023-07-27 17:14:34",0,no,no,"Fee kitna hai",UCcsZv2VnOlwjtDHuzmZFFEA,UgwmlPD4VbPbAXKYqYR4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwmlPD4VbPbAXKYqYR4AaABAg
38,,@JoydebPandey-d7x,"2023-08-01 05:19:57",2,no,no,"Sir fees kinta he",UC0UEJCoKb9e_I3A1el1zIkg,UgzszVZSiUs9YGwkI9V4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzszVZSiUs9YGwkI9V4AaABAg
39,,@SHAILENDRAUPADHYAY-g9j,"2023-08-04 18:36:49",2,no,no,"Abhi se hi life ko cubicals mein kuy daal rahe ho , really it looks like a factory",UCa1pupUks9hcE69pn-WEGfQ,UgxkHG_toZpqBx9FtH14AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxkHG_toZpqBx9FtH14AaABAg
40,,@YADAV-17,"2023-08-07 12:09:59",1,no,no,"Sub jhoot  7:35 pr jo piche Lbs campus 😢 bhai. Bus itna  kah raha hun  MAT JANA",UCEbkzJb7Ubhves_a7h5vACA,Ugyn7XHlVFo2kzqA_8N4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugyn7XHlVFo2kzqA_8N4AaABAg
41,,@Siddhivinayak-b8c,"2023-08-07 13:19:21",0,no,no,"What is the yearly fee including hostel,mess,everything",UCDMWdOM-lAycFISsU4nYVWg,UgzQZm_sLNrncD6KfPl4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzQZm_sLNrncD6KfPl4AaABAg
42,,@infablatus999,"2023-08-22 10:03:32",0,no,no,"Ye ho hi nhi skta sports hobby classes sabh dikhava hai",UCpt2HdXvBpPmgNhPtNmgRxg,UgwoAvgKqeXAiZ1aPT94AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwoAvgKqeXAiZ1aPT94AaABAg
43,,@uttarasingh6494,"2023-08-26 08:10:49",14,no,no,"Better self study not to run behind marketing. Reality kuchh aur hoti h",UC6dBawl2sR3E6HgUrABGHNQ,UgyNvdVGACuSpvYx5Ah4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyNvdVGACuSpvYx5Ah4AaABAg
44,,@MahendraMishra-c9n,"2023-09-02 11:24:45",0,no,no,"11th12 ka cbse class kese hota he",UC9Hx1vFjSq3AeZA62kaDqZQ,UgxH7iJalIDKuatxxrN4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxH7iJalIDKuatxxrN4AaABAg
45,,@chandanvarma3562,"2023-10-11 03:17:43",2,no,no,"Why would someone sent their children into these factories and that also from 6th grade? Dear parents let them have fun along with their studies? Later, as they grow, it will come to them eventually ?",UCG2fP58v0l03AmYNqMBerKA,UgxinJIC2yM17oJX5jh4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxinJIC2yM17oJX5jh4AaABAg
46,,@TusharKumar-rh6lt,"2023-10-14 11:17:48",0,no,no,"Sar fees to batate kitna hai",UCwws2V1ibRcWxKmdHv6_Ilw,Ugww7RQX6UxwvK_IXdJ4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugww7RQX6UxwvK_IXdJ4AaABAg
47,,@ErenYeager-vy3tl,"2023-10-16 16:41:20",4,no,no,"Those barking in the comments about communication skills and all.....
Ronaldo left his home at the age of 11
I don't see any gap in his so called communication skills 
Will you take their responsibility when they will be unemployed???
Will you give them medical expenses???
Will you give them food expenses???
If no then this "" communication skills "" thing makes no sense at least for Ronaldo who left home at 11",UCb2IEf1Lv5HDToMDKcCTXng,UgxemSObunheMlUu93t4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxemSObunheMlUu93t4AaABAg
48,,@ManasSwargiary-y2t,"2023-10-18 08:22:32",0,no,no,"Phone number  dijiye please sir",UCDzsyBAWnXZGrvRX86xmfXg,Ugy4USp5F1-GO-jGWE14AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugy4USp5F1-GO-jGWE14AaABAg
49,,@RohitSharma-mm5py,"2023-10-21 21:22:25",0,no,no,"Yeh baacha ko use karta h",UCLOtyJsupn4At0gR46ZNObw,Ugxb-nrBJZP3gHn6AdZ4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugxb-nrBJZP3gHn6AdZ4AaABAg
50,,@atulishblogs,"2023-10-24 16:27:01",0,no,no,"This campus full address please",UCsCOK9znQabJCbtBheCtFsw,UgzJLH7igvt_5clGJ4R4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzJLH7igvt_5clGJ4R4AaABAg
51,,@atulishblogs,"2023-10-24 16:27:22",0,no,no,"This campus full address please",UCsCOK9znQabJCbtBheCtFsw,UgwC-BjvPMPqxMoLnaZ4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwC-BjvPMPqxMoLnaZ4AaABAg
52,,@allinone8388,"2023-10-26 10:19:52",1,no,no,"Sir please ek vedio or bana dijiye hostel of pncf detail me",UCRR8ksCNIRg8UfVFbIT_kHw,Ugz9KELfs-pH7wZccFl4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugz9KELfs-pH7wZccFl4AaABAg
53,,@AvinashKumar-ww8xu,"2023-10-30 15:00:47",0,no,no,"Want to know total fee for cl 7 nd 9",UCLyZ5rs-HgDyFXU-8FHXC_w,Ugxq_PVHUIz_FLJKDPx4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugxq_PVHUIz_FLJKDPx4AaABAg
54,,@TwoKnees2,"2023-10-31 16:57:27",0,no,no,"Jail hai jail",UCzbr5a7Vq_7fczF9BNl17hA,UgxfOzolyvtF6WzEq7Z4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxfOzolyvtF6WzEq7Z4AaABAg
55,,@shubhamsaw9671,"2023-11-09 07:12:58",0,no,no,"again its a  factory to make product 🐧",UCXEJBy79342JIevYnzFX49w,UgwcqB1esTNLohButrt4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwcqB1esTNLohButrt4AaABAg
56,,@wakilkumar6195,"2023-11-12 16:43:31",4,no,no,"Sir class 6 th  hostal fee kitna hai?",UCDumoeoJP4g3oga_pEbCbMg,UgzOsTsv5Sg_A_4-GiN4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzOsTsv5Sg_A_4-GiN4AaABAg
57,,@Pappajii,"2023-11-18 01:23:10",3,no,no,"Video dekh kar mann kar gaya apne bache ko addmission karwane ka or jarur karwaunga ❤",UCCPkuzvHpM-4_ffjPH9E4rA,UgzK5vy88Ang4fiANo14AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzK5vy88Ang4fiANo14AaABAg
58,,@funnylife2221,"2023-11-23 09:56:56",1,no,no,"Love you BM sir ❤❤❤❤❤❤❤❤❤❤❤❤❤",UCdSgZ0W9QLDsvQBNYXCXaaQ,UgyKPSIiZ6DIeDKxvCl4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyKPSIiZ6DIeDKxvCl4AaABAg
59,,@deeptarat4475,"2023-12-08 11:50:50",1,no,no,"Robot banane ki factory",UC6c-ZEOf1ZS0x6WwCw_GG6g,UgzO-uFpp0CAACIH16Z4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzO-uFpp0CAACIH16Z4AaABAg
60,,@abhayranjantiwari5690,"2023-12-15 16:05:43",1,no,no,"Bhai ye sab hai to shi but as a boarding school not for preparation of any exams",UCFo9fnzr3z0IY_Dy7pt0zeA,UgzQM560eikwGJejlT54AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzQM560eikwGJejlT54AaABAg
61,,@ravishankarkumar1347,"2023-12-19 04:04:52",2,no,no,"Myank sir",UCF6PS-yvtAYuRlsBiDWDekg,UgwiP9kAab0XUcmSbml4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwiP9kAab0XUcmSbml4AaABAg
62,,@mallah544,"2023-12-27 11:02:41",0,no,no,"Sar mujhe mere bacche ka admission karvana hai to kya karna",UCKMOqIsb2glKNt4ruq8oJAw,UgzC7J3xxnPezxR1i1p4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzC7J3xxnPezxR1i1p4AaABAg
63,,@rishipramanick6823,"2023-12-28 08:02:40",9,no,no,"I also cracked neet in 2023 itself and the problem is indian parents are very much anxious about their child's future that's why they like to indulge them in institutes but the problem is if a child spends his childhood in coaching then when will he enjoy his childhood and after joining the college we feel that those neet prep days were too good only one exam that's it and boards but here sem is there and as well as gold medal exams and neet pg is also there so to parents be wise and let ur child decide his future u guys can self observe ur child the interest of the child in studies matters the most irrespective of streams",UCPdZjy97Z3FjYYcg1af8PjA,UgwDDARwAMFGkfpmHo54AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwDDARwAMFGkfpmHo54AaABAg
64,,@ADITYA_KUMAR0206,"2024-01-03 05:12:26",0,no,no,"Is campus ka name kya h koi please btado",UCdXjMx7OA6UHjp7pdGwA4QA,Ugyp3BzlmZyJRNScDhV4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugyp3BzlmZyJRNScDhV4AaABAg
65,,@AmitRai-ho1xg,"2024-01-11 04:53:56",0,no,no,"Fee of fooding and lodging included educational fees",UCJlgAfbJAO5BmcrJktZJUqA,UgxDYU-MbOLKv0dAgPN4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxDYU-MbOLKv0dAgPN4AaABAg
66,,@praveshkumar3735,"2024-01-13 05:19:31",0,no,no,"Is campus ka full address bhejdijiye sir",UCcSWkvAQp3542fJlwbf7_2Q,UgxSWZBWWzdAyGPFbsV4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxSWZBWWzdAyGPFbsV4AaABAg
67,,@MohitTiwari-wv3hs,"2024-01-16 03:39:26",0,no,no,"Mai yahi se passout hua hu😂2 year se",UC2-d8iFkoHfK_zWv1miwwdA,UgyVUl05R_gFgRUAHqR4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyVUl05R_gFgRUAHqR4AaABAg
68,,@Arpit_IITD.27,"2024-01-19 09:09:20",1,no,no,"Kya fayda ab sab band ho jaayega government ne bola he",UCPMzwlklAv9f__JpTURZ6yw,UgxI6f2D06rqXeK_HTF4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxI6f2D06rqXeK_HTF4AaABAg
69,,@PremchandSharma-i2l,"2024-02-02 15:02:20",0,no,no,"Bhaiya yeh konsa campus hai",UCWlsLg1M_AFmbCvveiOjWjQ,UgwBzI1bti-cHou4dsx4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwBzI1bti-cHou4dsx4AaABAg
70,,@dakshyadav946,"2024-02-03 13:24:34",0,no,no,"Bhaiya phone allowed hai",UC6o07-2KC7L5f0OvDeqxhdQ,UgybheVReSPoJRx1Fjh4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgybheVReSPoJRx1Fjh4AaABAg
71,,@santoshkumar-ko9tx,"2024-02-15 16:01:42",0,no,no,"Sir fees kha hai sir",UCwnnT0IeLCaBI055eGi4wKw,Ugyfj-r0dBywFPelcCB4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugyfj-r0dBywFPelcCB4AaABAg
72,,@rambhukumarchaudhary484,"2024-02-20 19:43:43",0,no,no,"Kya kharcha hai ji",UC2lOpP7GUUrcit6rmtYu3Lw,UgxhyG_W83rkTW65L4B4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxhyG_W83rkTW65L4B4AaABAg
73,,@ROSEOFROBLOX,"2024-02-24 02:51:38",0,no,no,"Sir gawaliyerme hostel feslity hai",UC7W-Rzd0wdiJd_NtjVLYlsA,Ugy_CO2-AVjAm6ngxZp4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugy_CO2-AVjAm6ngxZp4AaABAg
74,,@zishanahmad22,"2024-03-01 06:13:41",0,no,no,"5 lakhh feees",UCERWduvJom90yhoKSd1bGSw,Ugx3ZHaSvS2UvuJqTv94AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugx3ZHaSvS2UvuJqTv94AaABAg
75,,@Aditya_760,"2024-03-03 17:22:58",0,no,no,"Is campus ka naam kya hai?",UCzRTEznK-9jTSkKuqB-dbDg,UgyDS6Hvh6FM7PzJ0214AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgyDS6Hvh6FM7PzJ0214AaABAg
76,,@sumanbainsla1034,"2024-03-06 18:48:54",0,no,no,"Pncf teacher salary kitni hoti hai after 1 year",UCR_6G2sZskK2-oAWqFgttBQ,Ugz7a_-bQvAsGHNPQDx4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugz7a_-bQvAsGHNPQDx4AaABAg
77,,@RajKomar-t2n,"2024-03-10 06:23:06",1,no,no,"Amit ji gupta sir is the best",UCtH4AfzXc0qQhzaCkdHkkJw,Ugz5UK_N6U9gtqXimMF4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugz5UK_N6U9gtqXimMF4AaABAg
78,,@ShyamkiRadha108,"2024-03-15 06:52:48",0,no,no,"Kitna fee lagta hai",UCrqwfZFYbh1jK8-HsnwJizQ,UgzC5Vdi7-dAO0sON9V4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgzC5Vdi7-dAO0sON9V4AaABAg
79,,@TriptiTrivedi-wg6ie,"2024-03-23 04:53:49",0,no,no,"SHIV JYOTI NAME HAI SCHOOL KA 
IS SE ACHA LBS SCHOOL HAI SAB VAHA JANA",UCIflXVr1hGgx6BUqPnYnkMw,UgxkVF5p6IUjQEO9O954AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxkVF5p6IUjQEO9O954AaABAg
80,,@TriptiTrivedi-wg6ie,"2024-03-23 04:54:39",0,no,no,"LBS SCHOOL ISI ROAD PE HA 
IS SCHOOL SE PEHLE PADTA HAI",UCIflXVr1hGgx6BUqPnYnkMw,UgwxIbCmlGz8EmesodN4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgwxIbCmlGz8EmesodN4AaABAg
81,,@jayannajay460,"2024-03-25 17:38:44",0,no,no,"Non veg milega",UCL2HnkKKYF5p6_AAYxOxVrg,UgxdBluqSQWLC7gzB-t4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgxdBluqSQWLC7gzB-t4AaABAg
82,,@rameshyadav6599,"2024-03-30 16:42:42",0,no,no,"बच्चो को कितना फीस है कक्षा 6अपने बच्चा पढना चाहिए हूँ ।",UCkgVeLkW6lenn0k2y14SuIw,UgycyMOwXkU6kWf-BOB4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=UgycyMOwXkU6kWf-BOB4AaABAg
83,,@monindershekhawat7136,"2024-04-10 09:55:07",0,no,no,"Sir parents apne bacho se battein kaise kr sakte...
Pl provide the number",UCTGT0w_OQJrbRV-HtVKfyeg,Ugy7xTVZvoW5rloaM0J4AaABAg,https://www.youtube.com/watch?v=gf9-SSAPURA&lc=Ugy7xTVZvoW5rloaM0J4AaABAg
